Location,Area_sqft,Road_Width_ft,Near_Highway,Distance_from_citycenter_km,Price_per_sqft
Salem,1910.66,15.0,Yes,1.05,2760.71
Chennai,1881.25,27.8,Yes,1.59,5157.06
Madurai,1847.02,34.3,No,1.28,3066.44
Vellore,1938.56,16.0,No,3.03,2143.73
Vellore,1093.99,20.9,No,2.62,2110.95
Vellore,1697.0,26.8,Yes,2.09,2392.13
Madurai,1507.14,35.9,Yes,1.72,2955.82
Trichy,1198.66,28.8,No,5.34,2476.46
Madurai,1955.77,15.7,Yes,3.1,2770.13
Chennai,1928.87,20.9,Yes,2.04,4933.49
Salem,1410.79,25.4,No,3.39,2433.48
Vellore,1632.77,37.6,No,3.82,1994.0
Salem,1715.37,36.0,No,2.18,2713.85
Chennai,1780.9,21.0,Yes,0.71,5118.23
Vellore,1064.54,18.4,No,2.56,2414.08
Trichy,1728.36,31.5,Yes,2.74,3080.35
Coimbatore,1472.57,14.0,Yes,4.11,4160.09
Trichy,1551.26,23.2,No,0.84,2931.2
Chennai,929.67,26.0,Yes,0.84,4984.11
Chennai,1862.6,22.9,No,2.37,4571.55
Trichy,1580.63,38.7,Yes,2.46,2989.6
Trichy,1659.41,37.9,Yes,4.95,2753.01
Trichy,1193.77,33.3,Yes,5.02,2962.85
Coimbatore,1641.99,25.1,Yes,1.63,4488.54
Salem,1761.14,36.6,No,2.48,2722.43
Vellore,1552.62,27.2,Yes,5.6,2194.01
Trichy,1542.97,13.5,No,5.0,2680.33
Salem,1872.73,25.6,Yes,1.56,2901.43
Coimbatore,1612.28,30.6,No,0.92,4552.96
Coimbatore,1949.9,15.1,No,3.26,4309.59
Salem,1727.79,26.0,No,2.43,2680.96
Coimbatore,1272.6,18.1,Yes,1.13,4680.67
Vellore,1128.07,29.4,Yes,5.16,2338.81
Trichy,1735.06,24.6,No,2.54,3039.52
Coimbatore,1634.9,30.0,No,2.99,4100.18
Salem,1218.31,32.2,Yes,1.24,3034.33
Salem,1861.71,14.6,No,2.59,2440.43
Salem,1805.04,37.1,No,0.54,2778.58
Madurai,1426.9,17.9,No,4.56,2649.64
Coimbatore,1441.58,35.9,Yes,1.26,4664.7
Chennai,1999.7,29.5,No,5.77,4359.5
Coimbatore,1776.22,24.0,Yes,1.3,4727.37
Vellore,1757.21,36.0,No,3.56,2035.25
Salem,1664.51,24.2,No,2.37,2617.75
Coimbatore,1280.16,20.0,Yes,5.74,3977.63
Salem,1982.95,16.4,Yes,3.44,2532.53
Vellore,1758.5,15.5,Yes,5.92,2305.0
Madurai,1121.21,23.7,Yes,4.43,2618.82
Vellore,947.39,17.2,No,0.53,2299.26
Vellore,941.51,17.7,Yes,4.99,2387.8
Coimbatore,1675.27,39.0,No,0.88,4274.64
Trichy,1508.61,16.7,No,5.42,2742.22
Salem,925.87,26.8,Yes,1.52,2817.28
Chennai,1167.9,15.7,Yes,4.86,4807.36
Madurai,1702.18,38.0,No,4.69,2606.69
Vellore,1703.06,35.9,Yes,4.35,2211.18
Vellore,1739.71,14.9,Yes,1.31,2437.43
Trichy,1165.06,35.3,Yes,4.38,3115.6
Trichy,1071.92,21.1,Yes,0.7,3158.28
Coimbatore,1838.7,26.0,Yes,5.58,3995.48
Salem,1631.76,33.0,Yes,2.9,2649.0
Trichy,1661.48,38.6,Yes,1.94,3368.16
Coimbatore,856.73,31.5,No,3.43,4100.37
Coimbatore,1757.16,37.0,No,3.01,4208.74
Vellore,1159.78,29.2,Yes,2.18,2540.58
Chennai,1927.49,14.7,No,0.51,4777.8
Trichy,1035.8,15.6,No,3.44,2730.07
Trichy,1510.29,38.2,Yes,5.6,2852.13
Trichy,1056.77,16.4,Yes,4.95,3052.9
Chennai,1500.0,23.1,No,3.83,4699.49
Trichy,1409.1,23.3,No,1.16,2925.09
Chennai,1539.24,34.5,Yes,3.17,4850.54
Chennai,1544.09,34.8,Yes,1.11,5021.77
Madurai,1334.66,21.6,No,5.01,2328.82
Coimbatore,1112.93,19.9,No,4.22,4273.14
Trichy,1299.43,30.5,Yes,2.79,3165.47
Chennai,903.14,17.0,No,2.33,4961.28
Trichy,1163.79,39.5,No,3.84,2935.78
Chennai,1962.45,39.7,No,1.07,4923.82
Salem,1709.49,16.4,No,4.86,2188.58
Vellore,1267.54,14.5,No,4.94,2180.59
Vellore,1523.1,29.5,Yes,4.99,2041.42
Madurai,1908.11,19.7,No,3.09,2784.71
Salem,1565.02,37.1,Yes,4.66,2593.22
Coimbatore,1450.84,24.9,Yes,3.19,4388.51
Vellore,1182.0,19.0,No,5.36,2128.19
Vellore,1971.14,21.5,No,1.3,2198.31
Vellore,1087.79,16.4,Yes,2.6,2562.8
Trichy,1285.06,16.7,No,1.05,3100.66
Madurai,1582.2,26.7,No,3.06,2804.28
Vellore,1865.35,22.5,No,1.47,2241.94
Chennai,1707.71,15.5,Yes,3.82,4629.95
Trichy,1002.49,35.4,No,2.18,2842.55
Madurai,1938.95,27.0,Yes,5.99,2543.28
Vellore,1560.84,34.4,No,5.54,2123.94
Madurai,1505.47,29.5,No,5.41,2412.32
Coimbatore,1057.79,37.8,No,5.86,3911.69
Chennai,1235.32,27.7,No,5.59,4281.01
Coimbatore,1936.74,26.9,Yes,3.51,4231.74
Salem,1812.53,13.2,Yes,1.85,2806.56
Chennai,922.48,39.5,No,2.42,4899.7
Madurai,1657.0,14.2,No,2.8,2733.67
Vellore,1715.94,13.7,No,5.27,2074.12
Madurai,1773.26,18.2,No,3.05,2642.33
Coimbatore,1142.64,34.5,No,2.68,4044.93
Coimbatore,1424.79,33.3,No,2.23,4381.77
Madurai,1830.02,25.4,Yes,4.86,2639.79
Madurai,1663.67,28.6,No,2.57,2798.2
Vellore,1305.87,26.6,No,3.92,1962.47
Coimbatore,1191.02,29.1,Yes,2.02,4340.5
Chennai,1288.3,14.0,No,3.34,4760.03
Vellore,1479.06,30.9,Yes,2.55,2295.16
Madurai,912.54,15.1,No,3.86,2603.94
Salem,1529.82,15.4,No,3.47,2615.55
Madurai,1327.33,22.8,No,1.87,2619.73
Trichy,1954.72,40.0,No,0.62,3008.2
Chennai,1406.29,29.9,No,5.7,4297.05
Vellore,1505.39,13.5,Yes,5.65,1944.04
Chennai,1135.45,24.4,Yes,1.48,5215.88
Salem,1368.71,27.0,No,4.91,2327.84
Chennai,1478.93,36.7,Yes,4.55,4881.12
Salem,1497.03,27.6,No,2.62,2598.44
Coimbatore,1697.61,22.4,No,3.64,4102.84
Chennai,1114.65,19.4,No,2.26,4913.46
Chennai,1116.52,16.3,Yes,2.67,4951.48
Vellore,1392.16,31.8,Yes,5.59,2248.51
Madurai,1312.88,33.1,No,4.13,2722.19
Coimbatore,1995.57,22.9,Yes,5.21,4108.32
Madurai,1209.2,34.4,No,3.62,2640.45
Trichy,1033.77,13.9,Yes,1.11,3388.4
Vellore,1326.47,33.8,No,3.72,2170.74
Chennai,1504.65,14.3,No,2.73,4572.86
Madurai,1518.06,24.2,No,3.81,2812.0
Coimbatore,1620.31,23.4,Yes,1.94,4607.76
Vellore,1839.92,15.1,No,5.8,1792.45
Salem,1331.22,21.9,Yes,5.67,2294.26
Salem,1065.88,18.7,No,3.42,2421.98
Chennai,1953.69,13.0,No,2.04,4723.33
Chennai,1050.93,21.9,No,4.31,4559.64
Trichy,1959.93,39.0,Yes,4.04,2960.85
Coimbatore,1431.22,37.4,No,1.16,4250.63
Trichy,1298.27,32.2,No,5.53,2624.92
Coimbatore,1112.44,28.8,No,3.32,4105.19
Trichy,1614.04,13.6,No,2.58,3123.78
Trichy,960.43,13.9,Yes,4.97,2928.91
Salem,1583.73,33.3,No,4.43,2489.96
Madurai,1329.16,31.9,No,5.74,2385.77
Vellore,1729.42,22.7,Yes,2.4,2447.56
Vellore,1106.07,23.2,No,2.02,2492.26
Vellore,1620.35,25.5,No,5.33,1829.53
Madurai,1301.55,32.6,No,2.16,2871.7
Vellore,1731.32,23.1,No,1.79,2135.61
Chennai,1304.86,19.3,Yes,2.44,4871.26
Chennai,990.94,21.3,No,4.65,4643.06
Vellore,969.11,36.2,No,5.28,2017.18
Chennai,1241.03,34.7,No,2.82,4797.54
Madurai,1254.76,33.6,Yes,2.61,2883.14
Salem,1652.91,24.6,No,4.9,2166.67
Vellore,1381.22,34.2,No,0.59,2417.99
Salem,1384.31,21.9,No,4.39,2323.21
Chennai,1442.57,26.3,No,2.13,4682.13
Coimbatore,1623.62,17.8,Yes,5.01,4159.1
Coimbatore,1499.86,22.9,No,4.63,4109.09
Madurai,1906.45,21.4,No,5.41,2414.76
Chennai,1461.05,27.8,No,5.94,4543.08
Trichy,1277.0,15.5,Yes,1.83,3051.98
Chennai,1317.62,32.0,No,1.25,4843.57
Salem,1376.77,17.5,No,2.02,2569.92
Madurai,886.28,34.9,No,6.0,2367.8
Coimbatore,1320.8,25.3,Yes,1.35,4725.07
Coimbatore,1296.36,12.1,Yes,3.81,4122.79
Salem,916.89,35.4,No,5.02,2397.03
Coimbatore,1681.9,21.1,Yes,4.45,4114.64
Vellore,1503.0,36.8,Yes,3.89,2257.21
Coimbatore,1480.86,28.7,Yes,1.2,4690.11
Madurai,1159.46,14.1,Yes,2.98,2927.23
Vellore,1893.44,26.7,No,3.48,1968.22
Coimbatore,1686.39,39.3,Yes,2.37,4567.03
Vellore,840.36,13.6,No,4.09,2212.41
Coimbatore,1098.38,23.3,No,1.52,4480.4
Coimbatore,1377.55,31.6,No,2.54,4057.46
Madurai,1219.03,14.3,No,2.65,2565.42
Salem,1212.22,14.1,Yes,5.74,2315.94
Trichy,1463.51,17.6,Yes,5.18,2992.85
Salem,1520.28,16.5,No,3.53,2482.72
Trichy,1860.19,24.1,No,2.64,2746.79
Vellore,1585.74,28.1,No,4.37,1982.06
Salem,1271.67,24.0,No,1.4,2523.98
Trichy,977.53,38.3,No,5.93,2458.8
Coimbatore,898.13,32.2,No,1.11,4505.73
Vellore,1883.16,17.7,No,2.14,2350.09
Chennai,1249.97,12.4,No,2.44,4852.72
Vellore,1946.83,35.1,Yes,5.84,1928.35
Chennai,1059.01,12.8,Yes,3.73,4896.17
Trichy,840.26,12.8,No,2.51,3024.94
Salem,934.01,19.3,Yes,3.35,2854.1
Madurai,1761.75,19.0,No,0.58,2870.95
Chennai,1197.5,17.1,No,2.68,4694.61
Chennai,1094.35,14.7,No,3.05,4888.62
Madurai,1973.48,38.7,No,1.7,2805.67
Madurai,1544.11,37.6,No,5.79,2338.24
Chennai,1559.38,37.7,Yes,4.88,4755.09
Chennai,810.43,18.5,No,1.24,5006.03
Vellore,1805.53,38.9,No,4.49,2001.61
Salem,1391.63,38.4,No,3.92,2578.88
Chennai,1485.21,13.9,Yes,4.38,4857.17
Trichy,1424.44,36.2,Yes,0.89,3280.58
Salem,989.23,23.1,No,5.23,2139.62
Madurai,1683.32,38.4,Yes,0.55,3249.57
Madurai,1960.36,22.8,Yes,3.15,2905.21
Coimbatore,1547.34,36.6,No,0.54,4413.19
Madurai,1454.78,31.1,Yes,0.65,3025.87
Trichy,1470.43,34.0,No,2.53,2847.15
Madurai,1792.61,23.6,No,5.68,2288.53
Coimbatore,1668.78,17.0,No,0.71,4271.94
Chennai,1512.52,30.8,No,4.29,4382.21
Madurai,1610.21,12.4,Yes,3.64,2978.38
Madurai,1835.71,33.1,Yes,3.93,2805.91
Trichy,1975.37,12.8,Yes,4.26,2894.38
Vellore,1244.98,33.4,Yes,0.6,2522.21
Trichy,1777.37,38.7,Yes,4.91,3021.2
Trichy,806.55,27.5,No,5.22,2830.25
Trichy,1898.6,36.0,Yes,2.82,3235.34
Salem,970.7,20.5,No,5.68,2179.13
Chennai,1370.75,32.1,No,1.94,4860.05
Salem,1979.4,31.9,Yes,0.55,3132.67
Salem,1737.59,19.0,No,1.48,2597.07
Trichy,1311.78,32.8,No,5.86,2483.94
Trichy,1008.02,30.3,Yes,3.4,2890.35
Trichy,875.78,19.0,No,4.78,2847.45
Chennai,1153.35,29.4,No,2.52,4908.63
Coimbatore,1409.76,34.2,No,4.91,4026.26
Madurai,816.41,39.4,No,1.5,2824.58
Trichy,1222.82,30.8,No,2.37,2870.05
Salem,1787.44,21.2,Yes,5.57,2516.72
Vellore,1007.87,15.5,No,5.51,2048.19
Salem,1814.05,24.9,No,1.83,2546.28
Coimbatore,1352.83,18.5,Yes,5.09,4050.88
Vellore,1379.87,21.8,Yes,4.79,2157.16
Trichy,1001.33,32.3,No,5.59,2672.57
Vellore,1997.19,22.7,No,5.17,2162.97
Salem,869.13,33.3,Yes,3.75,2543.89
Madurai,859.72,31.2,No,0.96,2966.54
Coimbatore,1535.22,26.2,Yes,2.26,4490.8
Madurai,1247.31,22.2,Yes,2.91,3106.07
Vellore,1888.18,32.7,Yes,0.7,2567.57
Trichy,1482.5,14.3,No,2.93,3072.47
Chennai,1180.14,13.4,No,1.93,4889.51
Salem,1494.93,19.4,No,5.39,2117.85
Salem,1789.35,38.4,Yes,0.96,2795.45
Vellore,1900.83,18.4,Yes,3.33,2246.34
Trichy,1163.5,19.4,Yes,4.73,2827.18
Madurai,1238.53,36.3,Yes,1.16,3165.01
Salem,1264.8,29.7,No,3.97,2319.69
Coimbatore,978.2,16.9,No,2.63,4361.5
Salem,1063.25,31.7,Yes,4.26,2543.09
Madurai,1341.89,27.2,Yes,3.56,2853.84
Trichy,1500.94,22.6,No,5.08,2543.57
Chennai,1358.74,15.5,Yes,4.12,4681.9
Coimbatore,1094.03,32.1,Yes,3.83,4463.61
Salem,1239.68,36.1,Yes,1.14,2762.62
Vellore,1873.14,34.4,Yes,3.46,2361.23
Trichy,1767.11,32.2,No,1.05,3168.47
Coimbatore,1260.86,30.3,Yes,5.15,4188.42
Trichy,1509.8,33.8,Yes,4.41,2869.19
Vellore,1208.18,18.0,Yes,2.63,2298.53
Trichy,1192.28,35.8,Yes,3.03,3021.62
Coimbatore,856.65,35.8,Yes,2.81,4298.83
Salem,1095.96,35.8,No,2.99,2457.76
Coimbatore,1563.21,27.3,No,2.55,4380.83
Salem,1443.61,39.0,Yes,1.11,3084.19
Coimbatore,1002.7,26.7,Yes,2.73,4569.43
Coimbatore,1893.62,23.0,Yes,3.37,4167.21
Madurai,1027.41,13.5,No,5.97,2583.25
Vellore,1818.58,18.2,Yes,4.88,2272.54
Vellore,1019.93,30.1,No,3.92,2289.68
Trichy,832.36,25.4,Yes,1.1,3249.72
Coimbatore,1187.11,19.5,No,1.53,4264.33
Salem,1563.11,32.7,No,3.67,2391.47
Vellore,1014.78,20.5,No,3.19,1983.01
Madurai,1044.56,13.5,No,4.9,2366.19
Coimbatore,1445.98,25.9,Yes,3.1,4507.06
Salem,1005.1,34.8,No,5.25,2437.7
Trichy,831.76,20.6,Yes,2.87,3123.92
Chennai,1952.56,23.2,Yes,5.96,4615.88
Chennai,1429.76,15.0,Yes,5.69,4806.93
Salem,1258.27,19.3,Yes,1.58,2788.71
Madurai,985.18,34.8,Yes,2.31,3093.9
Madurai,1263.32,33.6,No,5.2,2323.04
Trichy,1536.71,29.5,No,2.91,2890.57
Madurai,1829.91,15.9,Yes,5.7,2443.15
Chennai,1266.89,38.6,No,3.33,4707.92
Coimbatore,851.01,15.7,Yes,4.61,4366.11
Salem,1002.95,37.9,No,3.91,2241.09
Chennai,1472.24,18.2,No,3.63,4504.5
Vellore,1979.2,39.0,No,5.31,2130.12
Vellore,1361.58,31.6,No,3.81,2157.5
Vellore,1802.81,33.3,No,3.1,2356.14
Madurai,1657.61,32.1,Yes,1.12,3001.35
Salem,862.69,29.3,Yes,4.97,2521.62
Vellore,1486.56,38.6,No,1.66,2167.07
Vellore,908.4,27.4,Yes,4.12,2473.4
Vellore,1793.78,38.0,No,5.63,1838.88
Coimbatore,1511.58,28.8,No,3.59,4244.51
Vellore,1908.12,35.0,Yes,3.55,2256.68
Coimbatore,1859.93,32.3,Yes,5.2,4050.82
Madurai,1012.86,16.4,Yes,2.81,2859.78
Trichy,1075.68,37.4,No,0.59,3048.61
Madurai,1696.99,17.7,No,1.64,2942.64
Madurai,1517.09,37.3,No,1.26,2804.58
Salem,989.5,19.6,No,1.1,2573.12
Coimbatore,1244.01,15.2,No,4.33,3972.68
Vellore,1990.47,16.1,No,5.76,2026.55
Madurai,1288.3,24.5,No,5.41,2301.33
Coimbatore,1722.01,35.4,No,3.58,3947.16
Vellore,1414.24,14.8,No,3.01,2033.01
Trichy,876.64,27.7,Yes,5.29,3069.22
Coimbatore,1068.64,29.0,No,0.84,4461.62
Trichy,1094.14,21.1,Yes,2.65,2980.51
Vellore,1014.04,27.5,Yes,0.76,2621.12
Trichy,1867.57,21.1,Yes,1.81,3085.52
Madurai,1385.59,18.3,No,5.94,2526.26
Chennai,1229.41,28.2,No,2.81,4566.73
Vellore,1718.25,23.7,No,1.13,2352.34
Chennai,1100.59,27.7,No,0.61,4751.4
Trichy,1350.02,26.9,No,3.82,2688.3
Coimbatore,1574.09,24.5,No,4.7,3946.41
Salem,1955.93,37.6,No,1.02,2749.05
Chennai,1985.89,39.0,Yes,1.67,5201.35
Trichy,1486.02,13.6,No,3.19,2993.08
Madurai,1117.13,25.1,No,2.94,2612.57
Coimbatore,943.65,35.4,Yes,2.67,4292.49
Salem,1650.07,15.9,No,5.35,2222.95
Vellore,1836.13,38.5,Yes,0.66,2702.01
Vellore,1205.77,29.6,No,1.93,2253.92
Vellore,1228.67,21.6,No,1.75,2384.49
Vellore,1957.9,12.1,No,1.11,2222.98
Chennai,1219.83,35.2,No,3.63,4580.76
Coimbatore,1942.49,27.2,No,3.81,3986.87
Vellore,1133.64,38.3,No,3.96,1909.75
Trichy,1996.87,33.2,No,3.08,2735.77
Madurai,1342.36,14.7,Yes,5.31,2616.92
Salem,1385.39,37.2,Yes,4.5,2553.08
Madurai,916.4,25.3,No,4.38,2689.26
Trichy,1999.89,24.2,Yes,4.91,3004.42
Madurai,1333.45,22.4,Yes,1.54,3219.31
Chennai,1739.66,14.2,Yes,3.12,4998.33
Chennai,1540.99,17.8,No,4.87,4314.13
Salem,1072.23,27.8,Yes,4.58,2687.38
Madurai,1302.24,38.9,Yes,4.34,2700.39
Vellore,1240.9,28.6,Yes,1.65,2599.58
Vellore,1993.98,35.4,No,2.86,2177.82
Chennai,1155.92,22.1,Yes,2.95,4766.34
Salem,1645.77,15.2,Yes,4.92,2630.89
Trichy,1720.76,19.1,Yes,0.81,3311.32
Trichy,1276.89,35.6,No,5.5,2565.15
Salem,1634.29,33.6,No,1.85,2529.43
Chennai,869.03,31.5,Yes,3.56,5038.73
Salem,1423.5,16.9,Yes,0.91,2937.16
Trichy,1461.66,26.4,Yes,5.37,2866.67
Trichy,1761.75,35.9,No,3.68,2816.07
Trichy,1352.13,17.1,No,2.42,3006.18
Madurai,1052.54,26.1,No,0.61,2843.1
Madurai,1669.28,35.3,No,0.5,2847.75
Chennai,918.42,32.2,Yes,3.55,5011.13
Madurai,1544.37,32.7,No,1.83,2668.9
Coimbatore,851.95,38.7,No,3.37,4174.49
Madurai,1682.52,19.0,No,5.58,2391.08
Coimbatore,1365.81,29.2,Yes,5.29,4096.18
Vellore,867.98,14.3,Yes,1.38,2721.3
Trichy,1569.6,37.0,No,2.64,2825.27
Coimbatore,1734.75,18.8,Yes,3.25,4574.59
Salem,1804.43,23.7,No,3.47,2414.14
Madurai,1993.21,25.7,No,3.26,2624.42
Madurai,1103.8,27.4,No,2.84,2873.51
Coimbatore,942.87,14.1,Yes,5.07,4250.83
Chennai,1347.15,16.2,No,1.77,4792.36
Vellore,1289.12,17.7,Yes,1.61,2530.84
Coimbatore,929.74,25.4,Yes,3.64,4529.15
Coimbatore,1231.41,12.9,Yes,0.94,4801.69
Madurai,1107.05,33.9,No,2.12,2712.97
Vellore,1025.36,13.1,Yes,4.79,2121.34
Vellore,1929.21,28.0,No,4.5,2116.06
Vellore,1526.56,32.5,No,4.85,2119.98
Coimbatore,1326.99,13.9,Yes,3.68,4178.56
Vellore,1215.65,25.5,Yes,1.79,2420.19
Chennai,1252.3,19.4,Yes,4.75,4922.12
Vellore,1116.46,23.3,No,3.97,1939.78
Salem,1349.85,37.9,Yes,1.55,3034.61
Trichy,1151.27,18.3,Yes,4.06,2966.04
Vellore,1978.45,18.8,No,5.97,1953.54
Chennai,1707.51,24.1,Yes,2.22,4888.31
Chennai,1218.78,24.6,No,4.34,4466.18
Salem,1902.66,26.4,No,5.35,2456.99
Vellore,853.14,14.3,Yes,4.03,2309.23
Coimbatore,1459.57,14.3,No,4.69,3989.82
Trichy,822.34,16.1,No,3.81,2854.73
Chennai,1402.83,26.2,Yes,5.68,4771.93
Salem,1155.16,35.4,Yes,0.62,2773.02
Coimbatore,1038.05,27.4,No,5.53,3920.89
Madurai,1051.99,35.3,No,5.31,2478.67
Chennai,1532.16,37.4,Yes,2.54,5021.75
Chennai,1980.19,16.0,Yes,1.61,4876.3
Chennai,1711.75,18.3,Yes,1.93,4825.46
Trichy,1256.35,17.2,No,5.17,2743.27
Salem,893.14,27.7,No,4.87,2499.91
Vellore,1254.41,24.4,Yes,4.76,2080.09
Chennai,1582.31,20.3,No,4.66,4652.62
Coimbatore,1460.04,14.6,No,5.44,4019.43
Madurai,1596.2,24.9,No,1.75,2675.23
Trichy,1391.31,35.5,No,1.42,3235.29
Coimbatore,928.56,40.0,Yes,2.61,4467.47
Trichy,1059.63,33.6,No,3.44,3022.64
Madurai,1584.65,31.2,No,4.43,2624.46
Vellore,923.82,31.0,Yes,1.14,2393.0
Trichy,844.82,12.4,Yes,1.8,3349.36
Coimbatore,1535.16,18.0,Yes,1.12,4398.72
Trichy,1359.14,33.0,No,4.06,2657.66
Trichy,1742.75,32.5,No,2.55,2839.87
Coimbatore,1401.81,21.2,Yes,5.78,4300.55
Coimbatore,1338.61,34.0,No,4.9,4023.25
Chennai,992.32,23.9,Yes,5.03,4611.99
Madurai,856.85,37.7,Yes,4.95,2684.78
Chennai,1827.29,18.7,Yes,5.43,4801.36
Madurai,1982.96,28.3,Yes,5.25,2608.64
Chennai,1410.46,15.0,No,5.96,4395.37
Coimbatore,1816.05,32.4,Yes,1.48,4638.37
Coimbatore,1769.24,23.2,Yes,4.22,4348.94
Coimbatore,1267.59,20.5,Yes,0.6,4524.8
Chennai,1214.97,17.4,No,3.41,4670.64
Chennai,1118.08,26.0,No,3.2,4507.85
Chennai,1533.04,17.1,Yes,5.75,4455.53
Chennai,1480.69,18.8,No,1.86,4792.87
Vellore,992.57,34.2,Yes,1.46,2657.23
Vellore,1461.33,26.0,No,3.29,2217.38
Madurai,1021.08,38.3,Yes,2.81,2979.49
Madurai,1389.49,17.6,Yes,4.9,2619.84
Chennai,1115.6,32.3,Yes,2.53,4935.35
Trichy,826.5,19.4,Yes,1.56,3370.19
Trichy,1810.93,29.8,Yes,5.72,2722.76
Madurai,1462.42,38.5,No,0.52,3043.93
Vellore,1848.64,20.7,Yes,1.94,2448.56
Vellore,1433.23,28.7,Yes,2.44,2551.02
Salem,1829.26,36.8,Yes,3.27,2492.71
Coimbatore,1452.43,27.2,Yes,3.15,4354.29
Vellore,1659.22,25.5,Yes,3.14,2528.58
Salem,1550.83,37.2,Yes,3.75,2667.91
Madurai,975.57,26.5,Yes,2.24,2906.15
Salem,881.25,20.3,No,3.39,2601.24
Chennai,1333.79,37.6,No,1.14,4746.53
Madurai,1471.95,24.8,Yes,1.96,2960.93
Chennai,846.57,20.5,Yes,5.1,4732.76
Madurai,962.22,15.2,Yes,4.1,2880.06
Coimbatore,1607.41,25.8,No,3.07,4353.14
Coimbatore,1019.29,26.3,No,5.66,3935.17
Trichy,1660.76,31.2,Yes,4.1,3039.91
Salem,815.83,30.6,No,4.86,2301.99
Madurai,1334.57,35.5,No,5.55,2285.05
Vellore,1791.53,14.6,No,3.14,2032.59
Madurai,958.13,34.4,No,5.4,2616.48
Madurai,974.17,28.6,No,0.78,2904.25
Madurai,1999.37,16.0,Yes,3.33,2985.15
Chennai,1329.37,20.8,No,1.01,4879.04
Vellore,1488.79,18.0,Yes,3.61,2342.34
Salem,1620.77,19.7,No,2.93,2556.43
Vellore,1155.97,35.4,Yes,2.51,2308.8
Vellore,1987.55,38.6,No,2.19,2352.73
Chennai,1349.36,19.1,No,5.74,4603.11
Madurai,1826.39,30.1,Yes,4.74,2837.43
Chennai,815.77,21.2,Yes,2.9,5106.13
Madurai,1471.88,39.9,Yes,4.34,2876.88
Salem,1911.09,24.7,No,2.33,2661.89
Salem,1171.01,26.0,Yes,4.03,2469.31
Coimbatore,1005.05,22.8,Yes,3.16,4516.71
Trichy,1186.35,22.7,No,4.37,2832.53
Vellore,1646.8,33.2,No,1.51,2300.35
Madurai,1226.25,17.0,No,0.84,2819.59
Trichy,1027.29,37.3,Yes,5.19,2899.91
Madurai,1666.78,35.8,Yes,4.18,2833.39
Chennai,1900.11,19.6,No,0.63,4802.07
Madurai,1105.97,23.4,No,5.51,2349.38
Coimbatore,870.04,30.0,Yes,2.4,4426.94
Trichy,1853.73,12.1,No,0.82,3137.69
Chennai,1164.37,14.8,Yes,3.71,5027.41
Chennai,1957.72,33.4,Yes,2.28,5054.18
Trichy,1434.78,30.6,No,1.23,2890.07
Madurai,1947.14,15.9,Yes,2.76,2790.75
Trichy,1934.47,19.9,Yes,0.91,3208.15
Madurai,1037.32,28.9,No,3.78,2595.88
Chennai,1939.47,20.9,No,1.62,4898.58
Salem,1023.94,25.3,No,1.9,2568.65
Madurai,1772.27,38.7,Yes,4.73,2704.84
Vellore,1483.28,25.2,No,5.7,2031.09
Coimbatore,1692.21,18.1,No,2.49,4073.69
Trichy,1208.51,20.3,No,3.46,3029.81
Vellore,1335.34,30.2,Yes,3.94,2208.4
Madurai,1335.26,26.0,No,1.24,2837.86
Salem,1314.14,32.5,No,4.72,2192.73
Vellore,1711.19,33.8,Yes,1.34,2369.16
Coimbatore,972.66,39.2,No,2.02,4115.08
Salem,1585.13,25.5,Yes,3.45,2465.17
Madurai,1125.7,12.2,Yes,3.36,2710.98
Madurai,894.7,19.4,No,1.04,2759.32
Chennai,1703.84,18.2,No,1.51,4653.59
Chennai,926.33,25.5,Yes,2.06,4920.78
Vellore,924.03,34.4,Yes,1.41,2512.57
Trichy,928.91,12.6,Yes,0.72,3274.37
Trichy,1068.32,19.1,Yes,2.14,3287.37
Vellore,1427.64,26.7,No,2.36,2392.06
Salem,1100.17,12.7,Yes,3.14,2746.0
Trichy,1387.39,19.1,No,1.63,3178.72
Salem,1196.64,28.9,Yes,2.05,2699.14
Salem,1332.72,14.9,No,5.61,2064.7
Salem,1644.93,21.1,Yes,3.94,2768.36
Coimbatore,1135.59,12.1,Yes,3.22,4569.62
Salem,1177.75,12.4,Yes,1.86,2663.13
Vellore,818.96,19.9,Yes,4.54,2080.07
Vellore,941.74,12.5,No,4.51,2102.27
Coimbatore,1727.39,38.6,Yes,5.1,4293.88
Vellore,1921.68,33.2,Yes,0.54,2665.68
Trichy,1512.64,21.3,Yes,2.84,3298.22
Salem,1098.78,36.6,Yes,5.73,2492.2
Coimbatore,1052.42,28.6,Yes,2.22,4398.28
Coimbatore,1523.44,13.4,No,1.36,4315.82
Chennai,1389.01,15.2,Yes,2.52,4932.15
Madurai,1747.25,12.0,No,5.09,2569.46
Chennai,1257.56,18.6,No,4.55,4726.75
Salem,1524.01,37.6,No,4.87,2258.84
Salem,1756.65,14.9,Yes,1.0,2810.99
Coimbatore,1951.54,36.8,No,1.4,4227.83
Trichy,1410.69,31.6,No,1.24,2984.56
Chennai,1674.25,31.7,Yes,4.35,4715.53
Vellore,1217.39,33.4,No,2.56,2096.22
Chennai,1148.61,21.6,Yes,3.5,4720.06
Chennai,1908.99,38.5,Yes,4.94,4811.69
Madurai,1779.29,35.6,Yes,5.05,2589.37
Trichy,1277.94,22.9,No,5.48,2701.3
